PrinterName,IPAddress,PortName,Location,Comment,DriverName,DriverInfPath,Shared,ShareName,Published,Color,Duplex,DefaultPaperSize,Collate,Staple,Department,CostCenter,DeployTo,DeployType,DeployMethod,Priority,SNMPEnabled,SNMPCommunity,WebInterface,AssetTag,SerialNumber,Model,Manufacturer,InstallDate,DefaultPrinter,PooledWith,PrintProcessor,DataType,Permissions,TestPage,Enabled,Notes
NYC-BR-PRN-001,10.2.1.100,IP_10.2.1.100,LA Branch - Main Office,LA branch main printer,HP Universal Printing PCL 6,\\la-printserver\drivers\HP\hpcu250u.inf,TRUE,LA-Branch-Main,TRUE,TRUE,TRUE,Letter,TRUE,TRUE,LA Operations,CC-LA-001,LA-Staff,Group,GPO,1,TRUE,public,https://10.2.1.100,AST-PRN-LA-001,SN2024020001,HP Color LaserJet Enterprise MFP M681,HP,2024-02-01,TRUE,,winprint,RAW,LA-Staff:Print;IT-Admins:Full,TRUE,TRUE,LA branch primary printer
NYC-BR-PRN-002,10.2.1.101,IP_10.2.1.101,LA Branch - Sales Floor,LA sales floor printer,HP Universal Printing PCL 6,\\la-printserver\drivers\HP\hpcu250u.inf,TRUE,LA-Branch-Sales,TRUE,FALSE,TRUE,Letter,TRUE,FALSE,LA Sales,CC-LA-002,LA-Sales-Staff,Group,GPO,1,TRUE,public,https://10.2.1.101,AST-PRN-LA-002,SN2024020002,HP LaserJet Enterprise M507,HP,2024-02-01,FALSE,,winprint,RAW,LA-Sales-Staff:Print;IT-Admins:Full,TRUE,TRUE,LA sales team printer
NYC-BR-PRN-003,10.3.1.100,IP_10.3.1.100,Chicago Branch - Main Office,Chicago branch main printer,Xerox Global Print Driver PCL6,\\chi-printserver\drivers\Xerox\x2UNIVX.inf,TRUE,CHI-Branch-Main,TRUE,TRUE,TRUE,Letter,TRUE,TRUE,Chicago Operations,CC-CHI-001,Chicago-Staff,Group,GPO,1,TRUE,public,https://10.3.1.100,AST-PRN-CHI-001,SN2024030001,Xerox VersaLink C605,Xerox,2024-02-15,TRUE,,winprint,RAW,Chicago-Staff:Print;IT-Admins:Full,TRUE,TRUE,Chicago branch primary printer
NYC-BR-PRN-004,10.4.1.100,IP_10.4.1.100,Remote Office - Denver,Denver remote office printer,HP Universal Printing PCL 6,\\den-printserver\drivers\HP\hpcu250u.inf,TRUE,DEN-Office-Main,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,Denver Operations,CC-DEN-001,Denver-Staff,Group,GPO,1,TRUE,public,https://10.4.1.100,AST-PRN-DEN-001,SN2024040001,HP Color LaserJet Pro MFP M479,HP,2024-02-15,TRUE,,winprint,RAW,Denver-Staff:Print;IT-Admins:Full,TRUE,TRUE,Small office MFP
NYC-HQ-PRN-019,10.1.1.118,IP_10.1.1.118_Pool1,Building A - Floor 1 - Print Room,Print pool - Node 1,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-PrintPool,TRUE,FALSE,TRUE,Letter,TRUE,TRUE,Facilities,CC-1001,NYC-Staff,Group,GPO,1,TRUE,public,https://10.1.1.118,AST-PRN-019,SN2024010019,HP LaserJet Enterprise M609,HP,2024-02-20,FALSE,NYC-HQ-PRN-020;NYC-HQ-PRN-021,winprint,RAW,Domain Users:Print;IT-Admins:Full,FALSE,TRUE,Printer pool node 1
NYC-HQ-PRN-020,10.1.1.119,IP_10.1.1.119_Pool1,Building A - Floor 1 - Print Room,Print pool - Node 2,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,FALSE,,,FALSE,TRUE,Letter,TRUE,TRUE,Facilities,CC-1001,,,None,1,TRUE,public,https://10.1.1.119,AST-PRN-020,SN2024010020,HP LaserJet Enterprise M609,HP,2024-02-20,FALSE,NYC-HQ-PRN-019;NYC-HQ-PRN-021,winprint,RAW,,FALSE,TRUE,Printer pool node 2 - not shared individually
NYC-HQ-PRN-021,10.1.1.120,IP_10.1.1.120_Pool1,Building A - Floor 1 - Print Room,Print pool - Node 3,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,FALSE,,,FALSE,TRUE,Letter,TRUE,TRUE,Facilities,CC-1001,,,None,1,TRUE,public,https://10.1.1.120,AST-PRN-021,SN2024010021,HP LaserJet Enterprise M609,HP,2024-02-20,FALSE,NYC-HQ-PRN-019;NYC-HQ-PRN-020,winprint,RAW,,FALSE,TRUE,Printer pool node 3 - not shared individually
YOURPC-001,LOCAL,LPT1:,User Desktop,Local USB printer template,HP Universal Printing PCL 6,,FALSE,,,TRUE,FALSE,Letter,TRUE,FALSE,IT,CC-2001,jsmith,User,Script,1,FALSE,,,AST-USB-001,,HP LaserJet Pro M15w,HP,2024-03-01,TRUE,,winprint,RAW,,TRUE,TRUE,Local USB connected printer template
YOURPC-002,192.168.1.100,IP_192.168.1.100,Home Office,Home office network printer,HP Universal Printing PCL 6,,FALSE,,,TRUE,TRUE,Letter,TRUE,FALSE,Remote,CC-REMOTE,Remote-Workers,Group,VPN-Script,3,TRUE,public,https://192.168.1.100,,,HP LaserJet MFP M428,HP,2024-03-01,TRUE,,winprint,RAW,Remote-Workers:Print,FALSE,TRUE,Home office printer template
YOURPC-003,FOLLOW-ME,FOLLOW-ME,Any Location,Follow-me print queue,HP Universal Printing PCL 6,,TRUE,FOLLOW-ME-PRINT,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,All,CC-GLOBAL,All-Staff,Group,GPO,1,FALSE,,,,,,,2024-03-01,FALSE,,winprint,RAW,Domain Users:Print;IT-Admins:Full,FALSE,TRUE,Follow-me/pull print queue - Papercut
SEC-HQ-PRN-001,10.1.1.200,IP_10.1.1.200,Building A - Floor 6 - Security,Security badge printer,HID Fargo HDP5000,\\printserver\drivers\HID\FARGO.inf,TRUE,NYC-HQ-BadgePrinter,FALSE,TRUE,FALSE,CR80 Card,FALSE,FALSE,Security,CC-SEC-001,Security-Staff,Group,Script,1,FALSE,,https://10.1.1.200,AST-SEC-001,SN2024S00001,HID Fargo HDP5000,HID Global,2024-03-01,TRUE,,winprint,RAW,Security-Staff:Print;Security-Admins:Full,TRUE,TRUE,ID badge printer - restricted access
CHK-HQ-PRN-001,10.1.1.201,IP_10.1.1.201,Building B - Floor 2 - Accounting,Check printer - secure,TROY MICR Secure,\\printserver\drivers\TROY\TROYMICR.inf,TRUE,NYC-HQ-CheckPrinter,FALSE,FALSE,FALSE,Check Stock,FALSE,FALSE,Accounting,CC-3002,Accounting-CheckPrint,Group,Manual,1,TRUE,private,https://10.1.1.201,AST-CHK-001,SN2024C00001,TROY MICR 3015,TROY Group,2024-03-01,TRUE,,winprint,RAW,Accounting-CheckPrint:Print;Accounting-Managers:Full,TRUE,TRUE,MICR check printer - highly restricted
